PVWatts: Hourly PV Performance Data;;;;;;;;;;
Requested Location:;montpelleir, france;;;;;;;;;
Location:;MONTPELLIER, FRANCE;;;;;;;;;
Lat (deg N):;43.58;;;;;;;;;
Lng (deg E):;3.97;;;;;;;;;
Elev (m):;6;;;;;;;;;
DC System Size (kW):;8.505;;;;;;;;;
Module Type:;Premium;;;;;;;;;
Array Type:;Fixed (open rack);;;;;;;;;
Array Tilt (deg):;0;;;;;;;;;
Array Azimuth (deg):;180;;;;;;;;;
System Losses:;14.08;;;;;;;;;
Invert Efficiency:;96;;;;;;;;;
DC to AC Size Ratio:;1.2;;;;;;;;;
;;;;;;;;;;
Month;Day;Hour;Beam Irradiance (W/m^2);Diffuse Irradiance (W/m^2);Ambient Temperature (C);Wind Speed (m/s);Plane of Array Irradiance (W/m^2);Cell Temperature (C);DC Array Output (W);AC System Output (W)
1;16;9;158;70;13;7.2;98.504;13.48;680.225;623.589
1;16;10;398;102;14;10.8;221.896;15.947;1538.816;1462.573
1;16;11;508;121;15;10.8;316.684;18.19;2241.85;2147.154
1;16;12;485;155;15.2;9.8;361.745;19.261;2593.603;2488.862
1;16;13;480;153;16;9.7;355.376;20.046;2538.346;2435.219
1;16;14;489;114;16;11.8;295.684;18.841;2078.414;1988.2
1;16;15;348;95;15;10.8;192.282;16.713;1321.489;1250.514
1;16;16;83;58;14;9.7;70.641;14.174;499.543;446.622
1;16;17;0;5;13;9.7;5;12.222;38.172;0
1;16;18;0;0;12.3;8.2;0;12.3;0;0
1;16;19;0;0;10;4.1;0;10;0;0
1;16;20;0;0;11;4.1;0;11;0;0
1;16;21;0;0;9.9;1;0;9.9;0;0
1;16;22;0;0;9.7;2.7;0;9.7;0;0
1;16;23;0;0;9.5;4.5;0;9.5;0;0
1;17;0;0;0;9.3;6.2;0;9.3;0;0
1;17;1;0;0;9;5.5;0;9;0;0
1;17;2;0;0;8.8;4.8;0;8.8;0;0
1;17;3;0;0;8.5;4.1;0;8.5;0;0
1;17;4;0;0;9;3;0;9;0;0
1;17;5;0;0;8;5.1;0;8;0;0
1;17;6;0;0;7.8;3.1;0;7.8;0;0
1;17;7;0;0;7;4.1;0;7;0;0
1;17;8;0;13;7;4.1;13;5.656;101.429;56.191
1;17;9;162;71;10.2;6.2;100.533;10.728;700.437;643.376
1;17;10;403;102;13;8.2;224.311;15.36;1559.345;1482.594
1;17;11;513;121;14;7.2;319.942;18.216;2266.042;2170.672
1;17;12;492;155;16.1;6.2;366.16;21.68;2604.495;2499.435
1;17;13;510;148;18;6.1;364.64;23.693;2569.53;2465.494
1;17;14;526;109;18;6.1;306.196;22.671;2120.653;2029.292
1;17;15;381;92;18;6.2;199.825;20.708;1349.106;1277.473
1;17;16;94;60;17;3;74.641;17.672;518.856;465.545
1;17;17;0;6;13;2;6;11.391;45.933;1.711
1;17;18;0;0;10.1;3.1;0;10.1;0;0
1;17;19;0;0;9;3;0;9;0;0
1;17;20;0;0;9;2;0;9;0;0
1;17;21;0;0;7.2;5.1;0;7.2;0;0
1;17;22;0;0;6;1;0;6;0;0
1;17;23;0;0;4;1;0;4;0;0
1;18;0;0;0;3;4.1;0;3;0;0
1;18;1;0;0;2.4;3.4;0;2.4;0;0
1;18;2;0;0;1.8;2.8;0;1.8;0;0
1;18;3;0;0;1.2;2.1;0;1.2;0;0
1;18;4;0;0;0;2;0;0;0;0
1;18;5;0;0;0;2;0;0;0;0
1;18;6;0;0;-0.2;1;0;-0.2;0;0
1;18;7;0;0;-1;3;0;-1;0;0
