"PVWatts: Hourly PV Performance Data"
"Requested Location:","toulouse"
"Location:","MONTPELLIER, FRANCE"
"Lat (deg N):","43.58"
"Lng (deg E):","3.97"
"Elev (m):","6"
"DC System Size (kW):","8.505"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","0"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","12","22","0","0","8.7","3.1","0","8.7","0","0"
"1","12","23","0","0","8.5","3.1","0","8.5","0","0"
"1","13","0","0","0","8.2","3.1","0","8.2","0","0"
"1","13","1","0","0","8.2","3.4","0","8.2","0","0"
"1","13","2","0","0","8.3","3.8","0","8.3","0","0"
"1","13","3","0","0","8.3","4.1","0","8.3","0","0"
"1","13","4","0","0","8.3","3.8","0","8.3","0","0"
"1","13","5","0","0","8.3","3.4","0","8.3","0","0"
"1","13","6","0","0","8.3","3.1","0","8.3","0","0"
"1","13","7","0","0","8","4.1","0","8","0","0"
"1","13","8","0","3","9","4.1","3","7.451","23.753","0"
"1","13","9","0","24","8.9","5.1","24","7.959","189.603","142.723"
"1","13","10","0","54","9","4.1","54","8.625","425.37","373.933"
"1","13","11","0","77","9.8","4.1","77","10.006","602.89","547.861"
"1","13","12","0","89","10.6","4.1","89","11.13","693.41","636.497"
"1","13","13","0","87","11.2","2.7","87","11.813","675.785","619.242"
"1","13","14","0","72","11.8","1.4","72","12.103","558.551","504.432"
"1","13","15","0","46","12.4","0","46","11.465","357.862","307.754"
"1","13","16","0","23","12","2","23","10.741","179.503","132.813"
"1","13","17","0","2","9","3","2","7.263","15.848","0"
"1","13","18","0","0","8.1","3.1","0","8.1","0","0"
"1","13","19","0","0","7.8","3.1","0","7.8","0","0"
"1","13","20","0","0","7.5","3.1","0","7.5","0","0"
"1","13","21","0","0","7.2","3.1","0","7.2","0","0"
"1","13","22","0","0","8.2","4.1","0","8.2","0","0"
"1","13","23","0","0","9.2","5.2","0","9.2","0","0"
"1","14","0","0","0","10.2","6.2","0","10.2","0","0"
"1","14","1","0","0","10","4.1","0","10","0","0"
"1","14","2","0","0","9.5","5.1","0","9.5","0","0"
"1","14","3","0","0","9","6.1","0","9","0","0"
"1","14","4","0","0","9","6.1","0","9","0","0"
"1","14","5","0","0","8","7.2","0","8","0","0"
"1","14","6","0","0","8","8.2","0","8","0","0"
"1","14","7","0","0","6","7.2","0","6","0","0"
"1","14","8","0","12","7","7.2","12","6.051","95.588","50.458"
"1","14","9","216","58","7","8.7","96.224","7.356","653.455","597.378"
"1","14","10","300","122","8","8.7","211.124","10.041","1526.026","1450.099"
"1","14","11","248","170","9","8.7","264.323","11.888","1970.349","1883.035"
"1","14","12","25","188","9.1","9.8","198.519","10.946","1540.711","1464.421"
"1","14","13","3","163","9","11.8","164.247","10.187","1284.101","1214.011"
